time,TP9,AF7,AF8,TP10,AUX
1644477864247.25,-84.9609375,-42.96875,129.8828125,-61.03515625,-157.2265625
1644477864251.1562,-48.828125,-41.015625,274.90234375,-46.875,42.48046875
1644477864255.0625,-42.48046875,-34.1796875,277.83203125,-44.43359375,42.96875
1644477864258.9688,-68.359375,-32.2265625,109.86328125,-59.08203125,-72.265625
1644477864262.875,-89.84375,-38.57421875,-171.875,-64.94140625,-98.14453125
1644477864266.7812,-61.5234375,-37.59765625,-282.71484375,-45.8984375,81.0546875
1644477864270.6875,-24.4140625,-33.69140625,32.71484375,-15.625,129.39453125
1644477864274.5938,-26.3671875,-36.62109375,291.9921875,-7.32421875,-17.08984375
1644477864278.5,-41.50390625,-32.71484375,121.58203125,-29.78515625,-78.125
1644477864282.4062,-58.59375,-35.64453125,-598.14453125,-41.9921875,263.18359375
1644477864286.3125,-50.29296875,-31.73828125,-577.63671875,-31.25,307.12890625
1644477864290.2188,-12.20703125,-25.390625,355.95703125,-22.4609375,-50.78125
1644477864294.125,0.9765625,-21.97265625,425.78125,-13.18359375,-83.0078125
1644477864298.0312,-17.578125,-18.06640625,12.6953125,-14.6484375,-66.40625
1644477864301.9375,-46.38671875,-20.01953125,-139.6484375,-39.0625,-172.36328125
1644477864305.8438,-49.8046875,-31.25,-23.4375,-46.38671875,-180.6640625
1644477864309.75,-21.97265625,-37.109375,245.60546875,-22.4609375,-39.0625
1644477864313.6562,-5.859375,-33.69140625,198.2421875,-7.8125,145.99609375
1644477864317.5625,-26.3671875,-33.69140625,-63.96484375,-22.4609375,136.23046875
1644477864321.4688,-60.05859375,-30.2734375,-125,-46.38671875,-72.265625
1644477864325.375,-56.15234375,-30.2734375,-225.09765625,-46.38671875,-37.59765625
1644477864329.2812,-22.4609375,-32.71484375,-352.5390625,-25.87890625,272.4609375
1644477864333.1875,-9.27734375,-26.85546875,216.30859375,-24.90234375,97.65625
1644477864337.0938,-15.13671875,-11.71875,330.56640625,-31.73828125,-117.67578125
1644477864341,-46.38671875,-11.71875,-282.2265625,-46.875,21.484375
1644477864344.9062,-59.5703125,-20.99609375,-351.5625,-55.17578125,22.94921875
1644477864348.8125,-18.06640625,-19.04296875,221.19140625,-26.85546875,-101.07421875
1644477864352.7188,10.25390625,-20.5078125,423.828125,-12.6953125,-82.03125
1644477864356.625,-4.8828125,-27.83203125,54.6875,-22.94921875,-4.39453125
1644477864360.5312,-34.1796875,-25.390625,-286.1328125,-31.25,53.7109375
1644477864364.4375,-52.24609375,-25.87890625,-377.44140625,-42.48046875,5.859375
1644477864368.3438,-23.92578125,-31.25,19.04296875,-28.3203125,-74.21875
1644477864372.25,3.41796875,-31.25,31.73828125,2.44140625,200.1953125
1644477864376.1562,-10.7421875,-29.78515625,-161.1328125,-5.859375,218.75
1644477864380.0625,-39.55078125,-32.71484375,46.38671875,-35.15625,-138.18359375
1644477864383.9688,-54.6875,-33.203125,-152.34375,-42.96875,-159.1796875
1644477864387.875,-24.90234375,-33.203125,-200.1953125,-19.53125,10.25390625
1644477864391.7812,8.7890625,-30.2734375,316.40625,1.953125,-30.76171875
1644477864395.6875,3.90625,-24.4140625,349.609375,-4.39453125,-102.05078125
1644477864399.5938,-35.15625,-32.2265625,-169.43359375,-25.390625,30.76171875
1644477864403.5,-52.24609375,-35.15625,-494.62890625,-30.2734375,65.91796875
1644477864407.4062,-30.2734375,-33.203125,-224.609375,-24.4140625,-41.50390625
1644477864411.3125,0.48828125,-28.3203125,235.83984375,-14.6484375,-31.73828125
1644477864415.2188,0.9765625,-24.90234375,170.41015625,-8.7890625,51.7578125
1644477864419.125,-32.2265625,-26.85546875,-451.171875,-29.296875,232.91015625
1644477864423.0312,-57.12890625,-29.78515625,-296.875,-50.78125,-25.87890625
1644477864426.9375,-31.25,-28.80859375,109.86328125,-28.80859375,-220.703125
1644477864430.8438,4.39453125,-27.83203125,210.9375,-6.34765625,-50.78125
1644477864434.75,-2.44140625,-27.34375,251.953125,-2.9296875,-44.921875
1644477864438.6562,-27.83203125,-27.83203125,115.72265625,-17.08984375,-172.8515625
1644477864442.5625,-53.22265625,-29.296875,-162.109375,-34.1796875,-210.44921875
1644477864446.4688,-35.64453125,-22.4609375,-229.4921875,-20.5078125,-101.5625
1644477864450.375,0,-23.92578125,187.01171875,-0.48828125,-60.546875
1644477864454.2812,0.9765625,-34.1796875,214.84375,-0.9765625,13.671875
1644477864458.1875,-23.4375,-36.62109375,-50.78125,-13.18359375,34.1796875
1644477864462.0938,-51.7578125,-34.66796875,-594.7265625,-31.25,206.54296875
1644477864466,-38.57421875,-28.80859375,-758.7890625,-24.4140625,360.83984375
1644477864469.9062,-5.37109375,-27.83203125,235.83984375,-4.39453125,9.27734375
1644477864473.8125,5.37109375,-30.2734375,489.74609375,2.44140625,-89.35546875
1644477864477.7188,-6.8359375,-27.34375,76.171875,3.90625,-10.25390625
1644477864481.625,-32.2265625,-27.34375,-43.9453125,-0.48828125,-82.03125
1644477864485.5312,-54.6875,-31.25,-38.57421875,-25.390625,-133.30078125
1644477864489.4375,-31.73828125,-27.34375,142.578125,-18.06640625,-54.6875
1644477864493.3438,-11.71875,-23.92578125,220.21484375,-1.953125,74.70703125
