time,TP9,AF7,AF8,TP10,AUX
1656239070884.875,-247.0703125,-306.15234375,42.96875,-177.734375,-39.0625
1656239070888.7812,-387.6953125,-440.4296875,-66.40625,-317.87109375,-86.42578125
1656239070892.6875,-382.8125,-457.51953125,-191.89453125,-315.91796875,0
1656239070896.5938,-376.953125,-455.56640625,-235.3515625,-318.84765625,128.90625
1656239070900.5,-367.67578125,-413.0859375,-150.87890625,-323.73046875,51.26953125
1656239070904.4062,-352.05078125,-399.4140625,-143.5546875,-310.546875,56.640625
1656239070908.3125,-347.65625,-408.69140625,-164.0625,-304.6875,91.796875
1656239070912.2188,-328.125,-409.66796875,-250.48828125,-283.203125,146.484375
1656239070916.125,-317.87109375,-340.8203125,-84.47265625,-253.90625,173.33984375
1656239070920.0312,-303.22265625,-309.08203125,102.05078125,-238.76953125,-80.56640625
1656239070923.9375,-272.4609375,-335.44921875,-76.66015625,-220.703125,-105.46875
1656239070927.8438,-253.41796875,-311.5234375,-109.86328125,-201.171875,7.8125
1656239070931.75,-232.91015625,-275.87890625,44.43359375,-170.8984375,-17.578125
1656239070935.6562,-223.6328125,-272.94921875,51.7578125,-169.43359375,-81.54296875
1656239070939.5625,-248.53515625,-279.296875,-69.82421875,-189.453125,-57.6171875
1656239070943.4688,-247.55859375,-250,-78.125,-179.6875,-3.41796875
1656239070947.375,-229.98046875,-237.3046875,-27.83203125,-157.2265625,-35.15625
1656239070951.2812,-224.12109375,-231.93359375,-28.80859375,-182.6171875,-37.59765625
1656239070955.1875,-221.19140625,-244.140625,-59.08203125,-206.0546875,73.73046875
1656239070959.0938,-223.14453125,-269.04296875,-225.09765625,-189.94140625,384.27734375
1656239070963,-241.69921875,-186.5234375,94.7265625,-208.49609375,239.2578125
1656239070966.9062,-240.72265625,-179.6875,226.07421875,-224.609375,-98.6328125
1656239070970.8125,-239.2578125,-215.33203125,28.80859375,-205.078125,-77.63671875
1656239070974.7188,-239.2578125,-184.5703125,112.3046875,-204.1015625,-74.21875
1656239070978.625,-239.74609375,-164.55078125,131.34765625,-233.3984375,-129.8828125
1656239070982.5312,-268.06640625,-166.50390625,62.5,-260.7421875,-79.1015625
1656239070986.4375,-282.2265625,-216.30859375,-31.73828125,-270.01953125,-24.4140625
1656239070990.3438,-293.45703125,-277.34375,94.23828125,-278.3203125,-64.453125
1656239070994.25,-300.78125,-357.91015625,154.78515625,-276.3671875,-97.16796875
1656239070998.1562,-294.43359375,-387.6953125,13.18359375,-280.76171875,-95.703125
1656239071002.0625,-299.8046875,-388.18359375,-109.375,-290.0390625,139.16015625
1656239071005.9688,-298.828125,-314.94140625,63.96484375,-286.1328125,208.984375
1656239071009.875,-294.43359375,-272.94921875,259.27734375,-278.80859375,-73.2421875
1656239071013.7812,-269.04296875,-298.33984375,130.37109375,-276.3671875,-96.6796875
1656239071017.6875,-270.99609375,-304.19921875,47.36328125,-276.3671875,73.73046875
1656239071021.5938,-272.4609375,-267.08984375,187.98828125,-278.3203125,-26.3671875
1656239071025.5,-239.2578125,-251.46484375,206.0546875,-271.97265625,-169.921875
1656239071029.4062,-212.40234375,-257.32421875,148.92578125,-247.55859375,-120.1171875
1656239071033.3125,-193.84765625,-238.76953125,218.26171875,-227.5390625,-58.10546875
1656239071037.2188,-179.6875,-215.33203125,281.25,-214.84375,-56.15234375
