time,TP9,AF7,AF8,TP10,AUX
1656409123208.875,44.921875,-52.24609375,-190.4296875,43.45703125,-121.09375
1656409123212.7812,45.8984375,-40.52734375,-193.84765625,32.71484375,-94.23828125
1656409123216.6875,-24.4140625,-51.7578125,-192.3828125,-24.90234375,-62.98828125
1656409123220.5938,-35.15625,-53.22265625,-195.80078125,-20.01953125,16.6015625
1656409123224.5,-7.32421875,-54.6875,-187.01171875,12.6953125,-76.171875
1656409123228.4062,-9.27734375,-61.03515625,-189.453125,1.46484375,115.72265625
1656409123232.3125,-21.484375,-57.6171875,-169.43359375,-16.6015625,427.24609375
1656409123236.2188,-26.85546875,-58.10546875,-141.6015625,-29.78515625,38.0859375
1656409123240.125,-39.55078125,-62.01171875,-156.25,-28.3203125,-163.57421875
1656409123244.0312,-35.64453125,-66.40625,-167.96875,-19.53125,79.1015625
1656409123247.9375,-17.578125,-64.94140625,-145.01953125,-11.71875,17.578125
1656409123251.8438,-2.44140625,-60.05859375,-135.7421875,-3.41796875,-171.875
1656409123255.75,9.765625,-55.6640625,-145.01953125,-4.39453125,-105.95703125
1656409123259.6562,7.32421875,-45.41015625,-134.27734375,-3.41796875,-33.203125
1656409123263.5625,12.6953125,-36.1328125,-130.37109375,12.6953125,-28.80859375
1656409123267.4688,9.27734375,-32.71484375,-136.23046875,12.6953125,-53.22265625
1656409123271.375,-2.44140625,-31.25,-147.4609375,9.765625,-49.8046875
1656409123275.2812,-14.16015625,-30.76171875,-147.4609375,-5.859375,60.05859375
1656409123279.1875,-10.7421875,-26.85546875,-132.32421875,2.9296875,57.12890625
1656409123283.0938,-12.20703125,-18.5546875,-120.60546875,24.4140625,47.8515625
1656409123287,-21.484375,-16.6015625,-126.953125,19.53125,25.390625
1656409123290.9062,-13.671875,-17.08984375,-138.18359375,11.23046875,205.56640625
1656409123294.8125,-9.765625,-15.13671875,-107.421875,6.8359375,87.890625
1656409123298.7188,-10.25390625,-18.06640625,-91.796875,13.671875,-163.57421875
1656409123302.625,-11.23046875,-19.04296875,-92.7734375,25.390625,-75.68359375
1656409123306.5312,-5.37109375,-17.578125,-88.37890625,37.109375,-44.43359375
1656409123310.4375,2.9296875,-19.04296875,-98.6328125,20.99609375,-108.88671875
1656409123314.3438,1.953125,-18.06640625,-104.98046875,1.46484375,-74.70703125
1656409123318.25,-2.44140625,-19.53125,-110.3515625,4.39453125,-0.48828125
1656409123322.1562,-3.41796875,-18.5546875,-112.3046875,3.90625,43.9453125
1656409123326.0625,1.953125,-17.08984375,-108.3984375,9.27734375,127.44140625
1656409123329.9688,2.9296875,-15.13671875,-106.4453125,14.16015625,-22.94921875
1656409123333.875,1.953125,-11.71875,-122.0703125,4.8828125,87.890625
1656409123337.7812,2.9296875,-13.671875,-97.16796875,18.06640625,301.26953125
1656409123341.6875,5.37109375,-11.23046875,-66.40625,23.92578125,2.9296875
1656409123345.5938,-1.46484375,-9.765625,-86.42578125,17.578125,-62.01171875
1656409123349.5,8.30078125,-13.671875,-101.5625,22.94921875,70.80078125
1656409123353.4062,22.4609375,-19.04296875,-62.01171875,36.62109375,1.46484375
1656409123357.3125,10.7421875,-24.4140625,-31.73828125,55.17578125,-120.1171875
1656409123361.2188,25.87890625,-21.97265625,-33.69140625,63.96484375,-94.7265625
