time,TP9,AF7,AF8,TP10,AUX
1644477829512.875,-19.04296875,-36.62109375,403.80859375,-15.625,-6.34765625
1644477829516.7812,-46.875,-36.62109375,292.48046875,-25.87890625,-103.02734375
1644477829520.6875,-67.3828125,-33.69140625,-129.8828125,-46.875,-92.28515625
1644477829524.5938,-70.3125,-34.1796875,-388.18359375,-46.875,-54.19921875
1644477829528.5,-36.62109375,-33.203125,2.9296875,-29.296875,-71.2890625
1644477829532.4062,-0.9765625,-29.78515625,236.81640625,-14.16015625,9.765625
1644477829536.3125,-14.16015625,-30.76171875,-71.77734375,-15.13671875,100.5859375
1644477829540.2188,-50.29296875,-31.73828125,-635.25390625,-34.66796875,219.7265625
1644477829544.125,-54.6875,-27.34375,-456.0546875,-49.8046875,85.44921875
1644477829548.0312,-17.578125,-32.2265625,114.2578125,-32.71484375,-1.46484375
1644477829551.9375,-0.48828125,-39.55078125,230.46875,-11.71875,81.54296875
1644477829555.8438,-22.94921875,-48.33984375,99.12109375,-20.99609375,68.359375
1644477829559.75,-42.96875,-44.921875,40.0390625,-42.48046875,-50.78125
1644477829563.6562,-56.640625,-35.64453125,-147.94921875,-47.8515625,-152.34375
1644477829567.5625,-34.1796875,-35.64453125,-116.69921875,-43.9453125,-70.80078125
1644477829571.4688,4.8828125,-30.2734375,283.203125,-25.87890625,9.27734375
1644477829575.375,4.8828125,-30.76171875,275.390625,-9.27734375,-53.22265625
1644477829579.2812,-19.53125,-32.71484375,-111.81640625,-26.85546875,3.41796875
1644477829583.1875,-46.875,-28.80859375,-645.99609375,-41.50390625,169.43359375
1644477829587.0938,-32.2265625,-28.3203125,-572.75390625,-19.53125,232.91015625
1644477829591,-3.90625,-24.90234375,318.84765625,5.859375,-6.34765625
1644477829594.9062,-11.71875,-27.34375,387.6953125,5.859375,-114.74609375
1644477829598.8125,-34.1796875,-34.66796875,-107.421875,-16.6015625,-76.66015625
1644477829602.7188,-49.31640625,-36.62109375,-302.734375,-30.76171875,-138.18359375
1644477829606.625,-30.76171875,-33.203125,-141.11328125,-20.99609375,-100.09765625
1644477829610.5312,9.765625,-27.34375,202.63671875,-6.8359375,27.83203125
1644477829614.4375,4.8828125,-29.296875,34.66796875,1.953125,167.48046875
1644477829618.3438,-31.25,-32.71484375,-27.83203125,-19.53125,39.0625
1644477829622.25,-51.26953125,-31.73828125,-142.578125,-35.15625,-161.1328125
1644477829626.1562,-36.1328125,-30.76171875,-322.265625,-13.18359375,-51.26953125
1644477829630.0625,3.41796875,-30.76171875,-310.546875,13.671875,337.890625
1644477829633.9688,5.859375,-29.78515625,51.7578125,1.953125,205.56640625
1644477829637.875,-28.80859375,-34.1796875,246.58203125,-25.390625,-162.109375
1644477829641.7812,-56.15234375,-41.015625,-212.40234375,-33.69140625,-204.1015625
1644477829645.6875,-42.96875,-42.48046875,-264.6484375,-26.3671875,-127.44140625
1644477829649.5938,-3.90625,-36.62109375,237.79296875,-11.23046875,-129.39453125
1644477829653.5,8.30078125,-31.25,363.28125,-1.953125,-132.8125
1644477829657.4062,-12.6953125,-32.71484375,31.25,-5.37109375,-102.5390625
1644477829661.3125,-36.62109375,-32.2265625,-308.59375,-20.5078125,-153.80859375
1644477829665.2188,-32.2265625,-23.92578125,-382.32421875,-28.3203125,-134.27734375
1644477829669.125,2.9296875,-22.94921875,138.18359375,-5.859375,-91.30859375
1644477829673.0312,18.5546875,-28.3203125,147.4609375,16.11328125,191.89453125
1644477829676.9375,-10.7421875,-31.25,-472.65625,4.39453125,479.4921875
1644477829680.8438,-47.8515625,-35.15625,-251.953125,-27.83203125,28.80859375
1644477829684.75,-46.38671875,-41.015625,-50.29296875,-32.2265625,-221.6796875
1644477829688.6562,-6.8359375,-36.62109375,-23.4375,-10.25390625,-18.5546875
1644477829692.5625,15.13671875,-28.3203125,296.875,3.90625,-23.92578125
1644477829696.4688,-3.90625,-38.57421875,315.91796875,-13.671875,-110.83984375
1644477829700.375,-41.50390625,-41.015625,-91.796875,-34.66796875,-104.98046875
1644477829704.2812,-55.6640625,-35.64453125,-372.55859375,-33.69140625,-57.12890625
1644477829708.1875,-17.578125,-34.66796875,29.78515625,-6.8359375,-41.50390625
1644477829712.0938,11.23046875,-37.109375,404.78515625,4.39453125,-46.38671875
1644477829716,-8.30078125,-39.55078125,146.97265625,-12.20703125,-48.33984375
1644477829719.9062,-41.015625,-39.55078125,-394.04296875,-22.94921875,41.9921875
1644477829723.8125,-54.6875,-37.59765625,-490.234375,-22.4609375,28.3203125
